Grado,Apellido paterno ,Apellido Materno,Nombre,Nivel ,Institución de adcripción ,Área de conocimiento
DRA.,GONZALEZ,CORONEL,VALERIA JORDANA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VII: Ingenierías
DRA.,LEÓN,VEGA,MARGARITA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: Humanidades y Ciencias de la Conducta
DR.,ALMAGUER,MARTINEZ,FRANCISCO JAVIER,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,CARMONA,GARCIA,ROSELIS,1,TECNOLOGICO NACIONAL DE MEXICO,Área VI: Biotecnología y Ciencias Agropecuarias
DRA.,PACHECO,MOSCOA,ADRIANA,1,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,REYES,RUIZ,FRANCISCO JAVIER,1,UNIVERSIDAD DE GUADALAJARA,Área IV: Humanidades y Ciencias de la Conducta
DR.,TREJO,ACEVEDO,ANTONIO,1,INSTITUTO NACIONAL DE SALUD PUBLICA,Área II: Biología y Química
DR.,LUNA,ESQUIVEL,GREGORIO,1,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,AGUILAR,MENDEZ,MIGUEL ANGEL,1,INSTITUTO POLITECNICO NACIONAL,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,ZAMUDIO,FLORES,PAUL BARUK,1,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",Área VI: Biotecnología y Ciencias Agropecuarias
DR.,AGUIRRE,CRUZ,ANDRES,1,UNIVERSIDAD DEL PAPALOAPAN,Área VI: Biotecnología y Ciencias Agropecuarias
DRA.,CEBALLOS,MAGAÑA,SILVIA GUILLERMINA,1,UNIVERSIDAD DE COLIMA,Área II: Biología y Química
DR.,ARGUETA,VILLAMAR,JORGE ARTURO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: Humanidades y Ciencias de la Conducta
DR.,SANCHEZ,VARGAS,ARMANDO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: Ciencias Sociales
DR.,DIAZ,CANO,AARON ISRAEL,1,INSTITUTO POLITECNICO NACIONAL,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,SERRANO,BOSQUET,FRANCISCO JAVIER,1,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Área IV: Humanidades y Ciencias de la Conducta
DR.,SALAS,ALFARO,RENATO,2,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Área V: Ciencias Sociales
DR.,CHAVEZ,PECH,CARLOS ESTEBAN,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,ANGOA,PEREZ,MARIANA,2,WAYNE STATE UNIVERSITY,Área III: Medicina y Ciencias de la Salud
DR.,REYES,HERNANDEZ,JAIME,1,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,BURIANO,CASTRO,ANA MARÍA,1,INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,Área IV: Humanidades y Ciencias de la Conducta
DR.,ORDONEZ,ROMERO,CESAR LEONARDO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,CRUZ,DEL CASTILLO,CINTHIA,1,UNIVERSIDAD IBEROAMERICANA,Área IV: Humanidades y Ciencias de la Conducta
DR.,ZEBADÚA,CARBONELL,JUAN PABLO,1,UNIVERSIDAD AUTONOMA DE CHIAPAS,Área IV: Humanidades y Ciencias de la Conducta
DR.,NIÑO,LAZARO,MAURO POMPEYO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: Ingenierías
DRA.,LIZARRAGA,MENDIOLA,LILIANA GUADALUPE,1,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Área VII: Ingenierías
DRA.,PEDRAZA,ESCALONA,MARIA MARTHA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: Biología y Química
DRA.,SANDOVAL,RIOS,MARISOL,1,GOBIERNO DEL ESTADO DE SONORA,Área III: Medicina y Ciencias de la Salud
DRA.,VELEZ,DEL VALLE,MARIA CRISTINA AMADA,1,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área II: Biología y Química
DR.,LUQUE,ROJAS,JOSE MANUEL,1,UNIVERSIDAD AUTONOMA DE SINALOA,Área V: Ciencias Sociales
DR.,MADRAZO,LAJOUS,ALEJANDRO,2,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",Área V: Ciencias Sociales
DR.,GARCIA,CONTRERAS,RODOLFO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: Biología y Química
DRA.,GUERRERO,CANO,MARIBEL,2,UNIVERSIDAD DE DEUSTO,Área V: Ciencias Sociales
